max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy
3,sqrt,2,2,243,0.6039215686274509
3,sqrt,2,2,729,0.6039215686274509
3,sqrt,2,2,2187,0.6078431372549019
3,sqrt,2,5,1,0.611764705882353
3,sqrt,2,5,3,0.6235294117647059
3,sqrt,2,5,9,0.5843137254901961
3,sqrt,2,5,27,0.6078431372549019
3,sqrt,2,5,81,0.6
3,sqrt,2,5,243,0.592156862745098
3,sqrt,2,5,729,0.6039215686274509
3,sqrt,2,5,2187,0.611764705882353
3,sqrt,2,10,1,0.5764705882352941
3,sqrt,2,10,3,0.5843137254901961
3,sqrt,2,10,9,0.6078431372549019
3,sqrt,2,10,27,0.6039215686274509
3,sqrt,2,10,81,0.5803921568627451
3,sqrt,2,10,243,0.611764705882353
3,sqrt,2,10,729,0.6
3,sqrt,2,10,2187,0.6078431372549019
3,sqrt,4,2,1,0.592156862745098
3,sqrt,4,2,3,0.6
3,sqrt,4,2,9,0.6196078431372549
3,sqrt,4,2,27,0.6078431372549019
3,sqrt,4,2,81,0.6
3,sqrt,4,2,243,0.615686274509804
3,sqrt,4,2,729,0.6
3,sqrt,4,2,2187,0.6039215686274509
3,sqrt,4,5,1,0.6078431372549019
3,sqrt,4,5,3,0.5803921568627451
3,sqrt,4,5,9,0.5882352941176471
3,sqrt,4,5,27,0.596078431372549
3,sqrt,4,5,81,0.5803921568627451
3,sqrt,4,5,243,0.5882352941176471
3,sqrt,4,5,729,0.6078431372549019
3,sqrt,4,5,2187,0.611764705882353
3,sqrt,4,10,1,0.5764705882352941
3,sqrt,4,10,3,0.5764705882352941
3,sqrt,4,10,9,0.6
3,sqrt,4,10,27,0.6
3,sqrt,4,10,81,0.5882352941176471
3,sqrt,4,10,243,0.615686274509804
3,sqrt,4,10,729,0.6078431372549019
3,sqrt,4,10,2187,0.6039215686274509
3,log2,1,2,1,0.5803921568627451
3,log2,1,2,3,0.5725490196078431
3,log2,1,2,9,0.5725490196078431
3,log2,1,2,27,0.6196078431372549
3,log2,1,2,81,0.6039215686274509
3,log2,1,2,243,0.611764705882353
3,log2,1,2,729,0.611764705882353
3,log2,1,2,2187,0.6078431372549019
3,log2,1,5,1,0.5803921568627451
3,log2,1,5,3,0.5647058823529412
3,log2,1,5,9,0.5686274509803921
3,log2,1,5,27,0.6078431372549019
3,log2,1,5,81,0.596078431372549
3,log2,1,5,243,0.596078431372549
3,log2,1,5,729,0.6039215686274509
3,log2,1,5,2187,0.611764705882353
3,log2,1,10,1,0.5803921568627451
3,log2,1,10,3,0.5490196078431373
3,log2,1,10,9,0.596078431372549
3,log2,1,10,27,0.5882352941176471
3,log2,1,10,81,0.592156862745098
3,log2,1,10,243,0.6078431372549019
3,log2,1,10,729,0.6
3,log2,1,10,2187,0.611764705882353
3,log2,2,2,1,0.5803921568627451
3,log2,2,2,3,0.5843137254901961
3,log2,2,2,9,0.6078431372549019
3,log2,2,2,27,0.6039215686274509
3,log2,2,2,81,0.596078431372549
3,log2,2,2,243,0.596078431372549
3,log2,2,2,729,0.6039215686274509
3,log2,2,2,2187,0.6078431372549019
3,log2,2,5,1,0.5725490196078431
3,log2,2,5,3,0.6039215686274509
3,log2,2,5,9,0.6078431372549019
3,log2,2,5,27,0.6
3,log2,2,5,81,0.615686274509804
3,log2,2,5,243,0.6078431372549019
3,log2,2,5,729,0.6078431372549019
3,log2,2,5,2187,0.611764705882353
3,log2,2,10,1,0.5764705882352941
3,log2,2,10,3,0.592156862745098
3,log2,2,10,9,0.5568627450980392
3,log2,2,10,27,0.596078431372549
3,log2,2,10,81,0.5882352941176471
3,log2,2,10,243,0.6039215686274509
3,log2,2,10,729,0.6039215686274509
3,log2,2,10,2187,0.6
3,log2,4,2,1,0.596078431372549
3,log2,4,2,3,0.5843137254901961
3,log2,4,2,9,0.6196078431372549
3,log2,4,2,27,0.6235294117647059
3,log2,4,2,81,0.615686274509804
3,log2,4,2,243,0.6039215686274509
3,log2,4,2,729,0.6039215686274509
3,log2,4,2,2187,0.6
3,log2,4,5,1,0.5529411764705883
3,log2,4,5,3,0.592156862745098
3,log2,4,5,9,0.6078431372549019
3,log2,4,5,27,0.6274509803921569
3,log2,4,5,81,0.6
3,log2,4,5,243,0.6235294117647059
3,log2,4,5,729,0.592156862745098
3,log2,4,5,2187,0.6039215686274509
3,log2,4,10,1,0.5764705882352941
3,log2,4,10,3,0.5450980392156862
3,log2,4,10,9,0.611764705882353
3,log2,4,10,27,0.6
3,log2,4,10,81,0.6
3,log2,4,10,243,0.6078431372549019
3,log2,4,10,729,0.6039215686274509
3,log2,4,10,2187,0.6
4,sqrt,1,2,1,0.5803921568627451
4,sqrt,1,2,3,0.6039215686274509
4,sqrt,1,2,9,0.5803921568627451
4,sqrt,1,2,27,0.5803921568627451
4,sqrt,1,2,81,0.596078431372549
4,sqrt,1,2,243,0.5725490196078431
4,sqrt,1,2,729,0.592156862745098
4,sqrt,1,2,2187,0.592156862745098
4,sqrt,1,5,1,0.6
4,sqrt,1,5,3,0.5686274509803921
4,sqrt,1,5,9,0.5843137254901961
4,sqrt,1,5,27,0.5764705882352941
4,sqrt,1,5,81,0.5882352941176471
4,sqrt,1,5,243,0.592156862745098
4,sqrt,1,5,729,0.5843137254901961
4,sqrt,1,5,2187,0.6
4,sqrt,1,10,1,0.5568627450980392
4,sqrt,1,10,3,0.596078431372549
4,sqrt,1,10,9,0.5882352941176471
4,sqrt,1,10,27,0.611764705882353
4,sqrt,1,10,81,0.592156862745098
4,sqrt,1,10,243,0.5843137254901961
4,sqrt,1,10,729,0.592156862745098
4,sqrt,1,10,2187,0.592156862745098
4,sqrt,2,2,1,0.5647058823529412
4,sqrt,2,2,3,0.592156862745098
4,sqrt,2,2,9,0.6
4,sqrt,2,2,27,0.6
4,sqrt,2,2,81,0.5764705882352941
4,sqrt,2,2,243,0.596078431372549
4,sqrt,2,2,729,0.5843137254901961
4,sqrt,2,2,2187,0.5882352941176471
4,sqrt,2,5,1,0.5764705882352941
4,sqrt,2,5,3,0.6039215686274509
4,sqrt,2,5,9,0.611764705882353
4,sqrt,2,5,27,0.592156862745098
4,sqrt,2,5,81,0.5882352941176471
4,sqrt,2,5,243,0.5803921568627451
4,sqrt,2,5,729,0.596078431372549
4,sqrt,2,5,2187,0.6039215686274509
4,sqrt,2,10,1,0.5529411764705883
4,sqrt,2,10,3,0.615686274509804
4,sqrt,2,10,9,0.6431372549019608
4,sqrt,2,10,27,0.6196078431372549
4,sqrt,2,10,81,0.6078431372549019
4,sqrt,2,10,243,0.5843137254901961
4,sqrt,2,10,729,0.592156862745098
4,sqrt,2,10,2187,0.6039215686274509
4,sqrt,4,2,1,0.592156862745098
4,sqrt,4,2,3,0.6078431372549019
4,sqrt,4,2,9,0.5803921568627451
4,sqrt,4,2,27,0.615686274509804
4,sqrt,4,2,81,0.5843137254901961
4,sqrt,4,2,243,0.5803921568627451
4,sqrt,4,2,729,0.596078431372549
4,sqrt,4,2,2187,0.592156862745098
4,sqrt,4,5,1,0.5607843137254902
4,sqrt,4,5,3,0.6078431372549019
4,sqrt,4,5,9,0.5882352941176471
4,sqrt,4,5,27,0.5843137254901961
4,sqrt,4,5,81,0.6
4,sqrt,4,5,243,0.6039215686274509
4,sqrt,4,5,729,0.6039215686274509
4,sqrt,4,5,2187,0.6
4,sqrt,4,10,1,0.6078431372549019
4,sqrt,4,10,3,0.5882352941176471
4,sqrt,4,10,9,0.611764705882353
4,sqrt,4,10,27,0.5803921568627451
4,sqrt,4,10,81,0.6078431372549019
4,sqrt,4,10,243,0.596078431372549
4,sqrt,4,10,729,0.6039215686274509
4,sqrt,4,10,2187,0.596078431372549
4,log2,1,2,1,0.5607843137254902
4,log2,1,2,3,0.6039215686274509
4,log2,1,2,9,0.5803921568627451
4,log2,1,2,27,0.5843137254901961
4,log2,1,2,81,0.596078431372549
4,log2,1,2,243,0.592156862745098
4,log2,1,2,729,0.6
4,log2,1,2,2187,0.5882352941176471
4,log2,1,5,1,0.6196078431372549
4,log2,1,5,3,0.5725490196078431
4,log2,1,5,9,0.611764705882353
4,log2,1,5,27,0.6078431372549019
4,log2,1,5,81,0.592156862745098
4,log2,1,5,243,0.6039215686274509
4,log2,1,5,729,0.596078431372549
4,log2,1,5,2187,0.596078431372549
4,log2,1,10,1,0.5725490196078431
4,log2,1,10,3,0.592156862745098
4,log2,1,10,9,0.611764705882353
4,log2,1,10,27,0.611764705882353
4,log2,1,10,81,0.6078431372549019
4,log2,1,10,243,0.5764705882352941
4,log2,1,10,729,0.592156862745098
4,log2,1,10,2187,0.6
4,log2,2,2,1,0.5882352941176471
4,log2,2,2,3,0.611764705882353
4,log2,2,2,9,0.6196078431372549
4,log2,2,2,27,0.592156862745098
4,log2,2,2,81,0.596078431372549
4,log2,2,2,243,0.596078431372549
4,log2,2,2,729,0.592156862745098
4,log2,2,2,2187,0.6
4,log2,2,5,1,0.5254901960784314
4,log2,2,5,3,0.5568627450980392
4,log2,2,5,9,0.5882352941176471
4,log2,2,5,27,0.592156862745098
4,log2,2,5,81,0.5843137254901961
4,log2,2,5,243,0.5764705882352941
4,log2,2,5,729,0.5882352941176471
4,log2,2,5,2187,0.5882352941176471
4,log2,2,10,1,0.5725490196078431
4,log2,2,10,3,0.596078431372549
4,log2,2,10,9,0.5764705882352941
4,log2,2,10,27,0.592156862745098
4,log2,2,10,81,0.5882352941176471
4,log2,2,10,243,0.5843137254901961
4,log2,2,10,729,0.592156862745098
4,log2,2,10,2187,0.596078431372549
4,log2,4,2,1,0.5294117647058824
4,log2,4,2,3,0.6196078431372549
4,log2,4,2,9,0.5803921568627451
4,log2,4,2,27,0.5725490196078431
4,log2,4,2,81,0.5882352941176471
4,log2,4,2,243,0.6
4,log2,4,2,729,0.5882352941176471
4,log2,4,2,2187,0.5882352941176471
4,log2,4,5,1,0.5529411764705883
4,log2,4,5,3,0.596078431372549
4,log2,4,5,9,0.5450980392156862
4,log2,4,5,27,0.5764705882352941
4,log2,4,5,81,0.592156862745098
4,log2,4,5,243,0.5725490196078431
4,log2,4,5,729,0.592156862745098
4,log2,4,5,2187,0.592156862745098
4,log2,4,10,1,0.5725490196078431
4,log2,4,10,3,0.5843137254901961
4,log2,4,10,9,0.5843137254901961
4,log2,4,10,27,0.5725490196078431
4,log2,4,10,81,0.6078431372549019
4,log2,4,10,243,0.5764705882352941
4,log2,4,10,729,0.592156862745098
4,log2,4,10,2187,0.592156862745098
5,sqrt,1,2,1,0.5725490196078431
5,sqrt,1,2,3,0.5803921568627451
5,sqrt,1,2,9,0.5843137254901961
5,sqrt,1,2,27,0.6392156862745098
5,sqrt,1,2,81,0.6
5,sqrt,1,2,243,0.5607843137254902
5,sqrt,1,2,729,0.592156862745098
5,sqrt,1,2,2187,0.5843137254901961
5,sqrt,1,5,1,0.5803921568627451
5,sqrt,1,5,3,0.5411764705882353
5,sqrt,1,5,9,0.6078431372549019
5,sqrt,1,5,27,0.6
5,sqrt,1,5,81,0.5843137254901961
5,sqrt,1,5,243,0.5882352941176471
5,sqrt,1,5,729,0.596078431372549
5,sqrt,1,5,2187,0.5882352941176471
5,sqrt,1,10,1,0.5803921568627451
5,sqrt,1,10,3,0.5607843137254902
5,sqrt,1,10,9,0.6039215686274509
5,sqrt,1,10,27,0.6
5,sqrt,1,10,81,0.6
5,sqrt,1,10,243,0.6039215686274509
5,sqrt,1,10,729,0.5882352941176471
5,sqrt,1,10,2187,0.596078431372549
5,sqrt,2,2,1,0.5803921568627451
5,sqrt,2,2,3,0.5843137254901961
5,sqrt,2,2,9,0.5607843137254902
5,sqrt,2,2,27,0.592156862745098
5,sqrt,2,2,81,0.6039215686274509
5,sqrt,2,2,243,0.5803921568627451
5,sqrt,2,2,729,0.5803921568627451
5,sqrt,2,2,2187,0.592156862745098
5,sqrt,2,5,1,0.6
5,sqrt,2,5,3,0.6
5,sqrt,2,5,9,0.615686274509804
5,sqrt,2,5,27,0.5725490196078431
5,sqrt,2,5,81,0.592156862745098
5,sqrt,2,5,243,0.592156862745098
5,sqrt,2,5,729,0.596078431372549
5,sqrt,2,5,2187,0.5882352941176471
5,sqrt,2,10,1,0.592156862745098
5,sqrt,2,10,3,0.6352941176470588
5,sqrt,2,10,9,0.5490196078431373
5,sqrt,2,10,27,0.592156862745098
5,sqrt,2,10,81,0.5764705882352941
5,sqrt,2,10,243,0.592156862745098
5,sqrt,2,10,729,0.596078431372549
5,sqrt,2,10,2187,0.592156862745098
5,sqrt,4,2,1,0.5764705882352941
5,sqrt,4,2,3,0.5843137254901961
5,sqrt,4,2,9,0.596078431372549
5,sqrt,4,2,27,0.5764705882352941
5,sqrt,4,2,81,0.5803921568627451
5,sqrt,4,2,243,0.6039215686274509
5,sqrt,4,2,729,0.6
5,sqrt,4,2,2187,0.592156862745098
5,sqrt,4,5,1,0.5647058823529412
5,sqrt,4,5,3,0.5490196078431373
5,sqrt,4,5,9,0.5882352941176471
5,sqrt,4,5,27,0.5529411764705883
5,sqrt,4,5,81,0.596078431372549
5,sqrt,4,5,243,0.592156862745098
5,sqrt,4,5,729,0.596078431372549
5,sqrt,4,5,2187,0.5843137254901961
5,sqrt,4,10,1,0.6039215686274509
5,sqrt,4,10,3,0.592156862745098
5,sqrt,4,10,9,0.6196078431372549
5,sqrt,4,10,27,0.611764705882353
5,sqrt,4,10,81,0.5882352941176471
5,sqrt,4,10,243,0.6
5,sqrt,4,10,729,0.5843137254901961
5,sqrt,4,10,2187,0.592156862745098
5,log2,1,2,1,0.5882352941176471
5,log2,1,2,3,0.6039215686274509
5,log2,1,2,9,0.5607843137254902
5,log2,1,2,27,0.5843137254901961
5,log2,1,2,81,0.5882352941176471
5,log2,1,2,243,0.6
5,log2,1,2,729,0.5882352941176471
5,log2,1,2,2187,0.5843137254901961
5,log2,1,5,1,0.5725490196078431
5,log2,1,5,3,0.5803921568627451
5,log2,1,5,9,0.5803921568627451
5,log2,1,5,27,0.611764705882353
5,log2,1,5,81,0.5764705882352941
5,log2,1,5,243,0.6
5,log2,1,5,729,0.5843137254901961
5,log2,1,5,2187,0.596078431372549
5,log2,1,10,1,0.596078431372549
5,log2,1,10,3,0.5686274509803921
5,log2,1,10,9,0.6
5,log2,1,10,27,0.6078431372549019
5,log2,1,10,81,0.6039215686274509
5,log2,1,10,243,0.5725490196078431
5,log2,1,10,729,0.5803921568627451
5,log2,1,10,2187,0.5882352941176471
5,log2,2,2,1,0.596078431372549
5,log2,2,2,3,0.6313725490196078
5,log2,2,2,9,0.6235294117647059
5,log2,2,2,27,0.6313725490196078
5,log2,2,2,81,0.6078431372549019
5,log2,2,2,243,0.5764705882352941
5,log2,2,2,729,0.5843137254901961
5,log2,2,2,2187,0.592156862745098
5,log2,2,5,1,0.615686274509804
